Date,Open,High,Low,Close,Adj Close,Volume
5/2/2017,109.52,109.68,109.07,109.24,109.24,268000.00
5/3/2017,108.47,109.04,108.32,108.87,108.87,368600.00
5/4/2017,109.27,109.27,108.44,109.16,109.16,152400.00
5/5/2017,109.24,109.94,109.13,109.91,109.91,219900.00
5/8/2017,110.00,110.35,109.99,110.19,110.19,170700.00
5/9/2017,109.04,109.13,108.36,108.46,108.46,235200.00
5/10/2017,106.29,106.35,105.69,105.81,105.81,441900.00
5/11/2017,106.74,106.92,106.31,106.84,106.84,283500.00
5/12/2017,106.17,106.63,106.17,106.46,106.46,277000.00
5/15/2017,106.52,106.56,106.10,106.41,106.41,300000.00
5/16/2017,107.10,107.36,106.65,106.92,106.92,276800.00
5/17/2017,106.83,107.35,105.72,105.79,105.79,259000.00
5/18/2017,105.89,107.00,105.84,106.77,106.77,211400.00
5/19/2017,107.10,107.80,107.10,107.56,107.56,177800.00
5/22/2017,107.35,107.96,107.20,107.50,107.50,330700.00
5/23/2017,108.00,108.43,108.00,108.08,108.08,229800.00
5/24/2017,107.50,107.65,106.95,107.32,107.32,151900.00
5/25/2017,107.26,107.54,107.11,107.30,107.30,179800.00
5/26/2017,106.78,107.10,106.60,107.10,107.10,157100.00
5/30/2017,107.20,108.11,107.15,107.88,107.88,193800.00
5/31/2017,107.37,107.71,106.75,107.54,107.54,185500.00
6/1/2017,107.84,108.42,107.74,108.40,108.40,170500.00
6/2/2017,109.04,109.62,108.87,109.37,109.37,274300.00
6/5/2017,107.93,108.23,107.50,107.76,107.76,181800.00
6/6/2017,107.54,108.03,107.53,107.80,107.80,205500.00
6/7/2017,107.88,107.98,107.40,107.53,107.53,127100.00
6/8/2017,106.50,106.65,105.51,105.78,105.78,433400.00
6/9/2017,105.71,106.27,105.35,105.74,105.74,275300.00
6/12/2017,106.23,106.64,106.11,106.45,106.45,388600.00
6/13/2017,106.93,107.41,106.70,107.41,107.41,952800.00
6/14/2017,107.13,107.17,106.36,106.70,106.70,149300.00
6/15/2017,105.49,106.05,105.30,105.78,105.78,350700.00
6/16/2017,104.99,104.99,104.59,104.90,104.90,299200.00
6/19/2017,104.60,104.71,104.37,104.70,104.70,232700.00
6/20/2017,104.50,104.55,103.62,103.82,103.82,301200.00
6/21/2017,104.88,104.88,104.45,104.56,104.56,211300.00
