Date,Price,Open,High,Low,Vol.,Change
7/10/2018,11517,11287,11517,11149,253330,0.046
7/11/2018,11056,11517,11517,10780,456230,-0.04
7/12/2018,11287,11195,11471,11056,281260,0.0209
7/13/2018,11563,11287,11563,11241,429650,0.0245
7/16/2018,11886,11517,12254,11425,181780,0.0279
7/17/2018,11978,11840,12070,11563,596940,0.0077
7/18/2018,12715,11978,12715,11978,406140,0.0615
7/19/2018,12899,12577,13130,12577,249660,0.0145
7/20/2018,12761,12531,12761,12254,318780,-0.0107
7/23/2018,12991,12899,13314,12899,450480,0.018
7/24/2018,12669,13083,13083,12485,442700,-0.0248
7/25/2018,12346,12761,12807,12346,299820,-0.0255
7/26/2018,12300,12392,12392,12116,253590,-0.0037
7/27/2018,12439,12254,12623,12254,359700,0.0113
7/30/2018,12531,12485,12577,12162,545340,0.0074
7/31/2018,12577,12531,12577,12208,289930,0.0037
8/1/2018,12346,12392,12531,12254,280430,-0.0184
8/2/2018,12116,12346,12346,12116,316100,-0.0186
8/3/2018,12392,12392,12485,12254,275400,0.0228
8/6/2018,12300,12254,12392,12254,73920,-0.0074
8/7/2018,12300,12346,12392,12300,103330,0
8/8/2018,12669,12439,12715,12439,256680,0.03
8/9/2018,12623,12669,12853,12577,135140,-0.0036
8/10/2018,12669,12715,12715,12439,99240,0.0036
8/13/2018,12899,12577,12945,12485,653290,0.0182
8/14/2018,12991,12807,13222,12761,644270,0.0071
8/15/2018,13083,13037,13728,13037,671710,0.0071
8/16/2018,13083,13037,13130,12761,583080,0
8/17/2018,13222,13037,13452,12991,636010,0.0106
8/20/2018,13452,13222,13728,13222,416220,0.0174
8/21/2018,13268,13452,13452,13222,386570,-0.0137
8/22/2018,13314,13360,13452,13176,306150,0.0035
8/23/2018,13222,13176,13268,13037,164000,-0.0069
8/24/2018,13083,13130,13176,12807,444350,-0.0105
8/27/2018,12991,12945,13314,12945,528540,-0.007
8/28/2018,12715,13037,13037,12623,641370,-0.0212
8/29/2018,12715,12761,12807,12669,309640,0
8/30/2018,12761,12715,12761,12623,270800,0.0036
8/31/2018,12853,12761,12853,12715,276660,0.0072
9/4/2018,12346,12715,12761,12346,333430,-0.0394
9/5/2018,12024,12439,12531,12024,401790,-0.0261
9/6/2018,12116,11978,12208,11886,329960,0.0077
9/7/2018,12346,11932,12392,11932,291900,0.019
9/10/2018,12300,12300,12346,12254,156610,-0.0037
9/11/2018,12623,12300,12623,12300,327980,0.0263
9/12/2018,12669,12577,12715,12577,227510,0.0036
9/13/2018,12623,12669,12715,12439,173950,-0.0036
9/14/2018,12715,12623,12715,12577,165860,0.0073
9/17/2018,12669,12669,12715,12623,442000,-0.0036
9/18/2018,12531,12577,12623,12485,169080,-0.0109
9/19/2018,12669,12531,12807,12531,257400,0.011
9/20/2018,12853,12669,12853,12669,134050,0.0145
9/21/2018,13176,12715,13176,12715,813950,0.0251
9/24/2018,13452,13314,13452,13083,606470,0.0209
9/25/2018,13360,13360,13452,13314,169670,-0.0068
9/26/2018,13360,13083,13452,13083,318220,0
9/27/2018,13314,13360,13452,13268,399070,-0.0034
9/28/2018,13590,13314,13636,13176,506620,0.0207
10/1/2018,13636,13498,13913,13498,617920,0.0034
