Date,Close,Open,High,Low,Vol.,Change %
26-12-18,40547,40393,41084,40393,998060,0.19%
27-12-18,41084,41468,41698,41084,729580,1.32%
28-12-18,41084,41315,41852,40931,997440,0.00%
02-01-19,41161,41391,41698,41084,1380000,0.19%
03-01-19,41161,41468,41545,40470,1370000,0.00%
04-01-19,41775,40931,41775,40393,1670000,1.49%
07-01-19,41929,42466,42620,41852,1500000,0.37%
08-01-19,42236,42236,42390,41852,1680000,0.73%
09-01-19,42850,42620,43081,42082,1450000,1.45%
10-01-19,42236,42850,42850,42236,1010000,-1.43%
11-01-19,42390,42390,42620,42159,1420000,0.36%
14-01-19,42466,42390,42620,42159,969730,0.18%
15-01-19,42927,42466,43081,42390,1370000,1.09%
16-01-19,42543,43234,43234,42236,901060,-0.89%
17-01-19,42390,42466,42774,42313,587040,-0.36%
18-01-19,42082,42390,42543,42082,692100,-0.73%
21-01-19,42850,41929,43158,41852,1110000,1.83%
22-01-19,42390,43004,43004,42390,508280,-1.07%
23-01-19,42543,42159,42620,42159,656780,0.36%
24-01-19,42543,42543,42697,42236,591900,0.00%
25-01-19,42850,42620,43081,42543,1290000,0.72%
28-01-19,42620,43004,43004,42620,430000,-0.54%
29-01-19,43542,42620,43542,42390,1240000,2.16%
30-01-19,43542,43542,43925,43542,1470000,0.00%
31-01-19,43618,43618,44079,43618,1460000,0.17%
01-02-19,43388,43772,44079,43388,1060000,-0.53%
11-02-19,44617,43772,44693,43618,1780000,2.83%
12-02-19,45001,44617,45308,44386,2150000,0.86%
13-02-19,45922,45001,45999,45001,2370000,2.05%
14-02-19,46229,45922,46306,45769,2080000,0.67%
15-02-19,45538,46076,46076,45461,1590000,-1.49%
18-02-19,46076,45692,46076,45692,1310000,1.18%
19-02-19,45308,46076,46229,45308,1660000,-1.67%
20-02-19,45385,45538,45769,45231,1040000,0.17%
21-02-19,46152,45692,46152,45385,2610000,1.69%
22-02-19,47612,46229,47919,46076,3190000,3.16%
25-02-19,48687,47995,49071,47842,2650000,2.26%
26-02-19,48379,48687,48763,47535,2520000,-0.63%
27-02-19,47535,48226,48379,47304,1470000,-1.74%
28-02-19,46460,47535,47995,46460,2590000,-2.26%
01-03-19,47765,46844,47765,46690,910430,2.81%
04-03-19,48226,47765,48379,47765,1720000,0.97%
05-03-19,48379,48226,48994,47995,2010000,0.32%
06-03-19,48149,48456,48610,47535,1380000,-0.48%
07-03-19,48456,48149,48994,48072,2420000,0.64%
08-03-19,48226,47919,48379,47688,1270000,-0.47%
11-03-19,48072,47919,48149,47535,1300000,-0.32%
12-03-19,49762,48379,49762,48149,2800000,3.52%
13-03-19,50069,49915,50069,49531,2140000,0.62%
14-03-19,51451,50069,51451,49531,2900000,2.76%
15-03-19,50683,51605,51605,50683,3340000,-1.49%
18-03-19,51912,51067,52066,51067,2470000,2.42%
19-03-19,51298,51912,51912,51221,1770000,-1.18%
20-03-19,51221,51221,51605,50837,3110000,-0.15%
21-03-19,51144,51374,52142,51067,1950000,-0.15%
22-03-19,51374,51298,51451,51067,1760000,0.45%
25-03-19,50299,49915,50683,49147,2090000,-2.09%
26-03-19,50299,50760,51067,50299,1440000,0.00%
27-03-19,50299,50606,50606,49685,686720,0.00%
28-03-19,51221,50453,51221,50222,947390,1.83%
29-03-19,51682,51451,51835,51298,865190,0.90%
01-04-19,52066,52142,52142,51912,872860,0.74%
02-04-19,51835,52219,52603,51835,710690,-0.44%
03-04-19,51605,51835,51912,51067,568650,-0.44%
04-04-19,51989,51605,52142,51298,1210000,0.74%
05-04-19,52296,52066,52373,52066,609330,0.59%
08-04-19,53525,52296,53525,52142,1430000,2.35%
09-04-19,53601,53525,53755,53294,968710,0.14%
10-04-19,52910,53371,53371,52833,917480,-1.29%
11-04-19,52603,52987,52987,51989,516890,-0.58%
12-04-19,52219,52680,52680,51912,453490,-0.73%
16-04-19,51758,52219,52219,50990,516320,-0.88%
17-04-19,52219,52142,52373,51451,659320,0.89%
18-04-19,52142,51835,52757,51835,707950,-0.15%
19-04-19,52219,52142,52603,52142,296730,0.15%
22-04-19,52142,51528,52296,51451,399660,-0.15%
23-04-19,51835,52219,52219,50760,1610000,-0.59%
24-04-19,52603,51835,53141,51835,873470,1.48%
25-04-19,51989,52603,52603,51989,444940,-1.17%
