Date,Close,Open,High,Low,Vol.,Change %
10-12-18,104794,103940,105958,103629,1200000,0.82
11-12-18,104639,104639,105182,103629,531670,-0.15
12-12-18,104018,104095,104716,103241,938930,-0.59
13-12-18,104794,104018,105570,104018,771730,0.75
14-12-18,104794,104794,105104,104328,312200,0
17-12-18,103940,104794,104794,103940,1250000,-0.81
18-12-18,102232,101301,102465,101301,974220,-1.64
19-12-18,100214,101766,102077,100136,580910,-1.97
20-12-18,97963,100136,100136,97963,647650,-2.25
21-12-18,95091,96721,97031,94780,2280000,-2.93
24-12-18,97497,95479,98196,95479,551080,2.53
25-12-18,96721,96410,96798,95479,419530,-0.8
26-12-18,96255,96721,96721,95091,804620,-0.48
27-12-18,96412,97038,98524,96412,927130,0.16
28-12-18,93907,97038,97977,93907,1220000,-2.6
02-01-19,97038,95081,97038,94690,484280,3.33
03-01-19,96177,97038,97038,95159,539680,-0.89
04-01-19,97820,95864,97820,94690,598160,1.71
07-01-19,102516,99933,102516,98211,1080000,4.8
08-01-19,101733,102829,102829,100716,538020,-0.76
09-01-19,103220,101733,103689,100950,763260,1.46
10-01-19,103063,103220,103298,102437,362040,-0.15
11-01-19,104863,103063,104863,103063,1140000,1.75
14-01-19,105646,104081,105646,104002,733700,0.75
15-01-19,105568,105646,105802,104863,718210,-0.07
16-01-19,104081,104863,105411,103298,674660,-1.41
17-01-19,103455,104081,104394,102985,617840,-0.6
18-01-19,104863,104081,105568,104081,654720,1.36
21-01-19,104707,104941,104941,103533,335260,-0.15
22-01-19,104863,105020,105646,104081,478850,0.15
23-01-19,105255,105568,105646,104707,1230000,0.37
24-01-19,106037,105646,106037,105098,1290000,0.74
25-01-19,106350,106428,106663,106115,976570,0.3
28-01-19,106820,106820,106898,106350,585180,0.44
29-01-19,106820,107211,107211,106037,445210,0
30-01-19,106037,106898,106898,106037,335140,-0.73
31-01-19,105646,106820,106820,104472,974750,-0.37
01-02-19,105646,106272,106272,104081,877720,0
11-02-19,107211,106194,107915,105568,1630000,1.48
12-02-19,107993,107993,108150,107211,1150000,0.73
13-02-19,108228,107993,108307,106585,917380,0.22
14-02-19,109089,108228,109793,107993,1610000,0.8
15-02-19,109715,109559,109793,109167,1090000,0.57
18-02-19,111124,109872,111515,109793,1300000,1.28
19-02-19,111593,111906,112141,111437,2370000,0.42
20-02-19,111906,111906,112298,111750,1180000,0.28
21-02-19,116210,112298,116680,111906,2230000,3.85
22-02-19,116523,116602,116993,116054,977180,0.27
25-02-19,118636,116602,119419,116367,1450000,1.81
26-02-19,114332,117384,118949,113471,968170,-3.63
27-02-19,115584,114489,117384,114489,581530,1.1
28-02-19,110419,116210,116210,110419,1170000,-4.47
01-03-19,110654,112611,112611,110654,1040000,0.21
04-03-19,111828,110732,112611,110732,1050000,1.06
05-03-19,111124,111515,111750,110811,639010,-0.63
06-03-19,110341,111124,111750,108385,853500,-0.7
07-03-19,109324,110576,111124,109167,849600,-0.92
08-03-19,107211,108776,109167,106115,1180000,-1.93
11-03-19,107680,106820,108698,106820,507720,0.44
12-03-19,108776,107993,109167,107993,672430,1.02
13-03-19,108228,109167,109637,108150,739210,-0.5
14-03-19,107367,108776,108776,106976,1110000,-0.8
15-03-19,107211,107367,107993,106820,1500000,-0.15
18-03-19,107993,107993,108463,107602,1090000,0.73
19-03-19,107133,107993,107993,106898,1120000,-0.8
20-03-19,108385,106820,108385,105802,1520000,1.17
21-03-19,106428,108776,109480,106428,1060000,-1.81
22-03-19,106820,106428,107211,106037,631880,0.37
25-03-19,106820,105411,106820,105333,699100,0
26-03-19,106820,106820,107524,106428,821360,0
27-03-19,106820,106898,107367,106663,818400,0
28-03-19,105802,106741,106820,105802,980120,-0.95
29-03-19,105489,105802,106820,105489,1630000,-0.3
01-04-19,108463,106037,108463,105646,956060,2.82
02-04-19,108776,109480,109480,107446,1480000,0.29
03-04-19,108385,108776,108776,107680,820760,-0.36
04-04-19,107993,108307,109402,107993,563680,-0.36
