Date,Close,Open,High,Low,Vol.,Change %
19-09-18,23694.4,23459.8,23798.7,23355.6,2.36M,1.45%
20-09-18,23929,23485.9,24085.4,23485.9,1.97M,0.99%
21-09-18,23929,24007.2,24007.2,23564.1,2.32M,0.00%
24-09-18,24033.3,23929,24241.8,23876.9,1.73M,0.44%
25-09-18,23929,23981.2,24033.3,23876.9,1.30M,-0.43%
26-09-18,24007.2,23981.2,24398.2,23903,1.80M,0.33%
27-09-18,24085.4,24007.2,24241.8,24007.2,1.31M,0.33%
28-09-18,24137.6,24241.8,24241.8,24111.5,977.23K,0.22%
01-10-18,23981.2,24137.6,24215.8,23955.1,907.35K,-0.65%
02-10-18,23616.2,23903,23981.2,23590.2,1.49M,-1.52%
03-10-18,23720.5,23616.2,23824.8,23590.2,651.25K,0.44%
04-10-18,23903,23720.5,23981.2,23668.4,822.71K,0.77%
05-10-18,23772.6,23955.1,23981.2,23746.6,887.60K,-0.55%
08-10-18,23459.8,23720.5,23720.5,23459.8,893.47K,-1.32%
09-10-18,23303.4,23459.8,23538,23303.4,697.30K,-0.67%
10-10-18,23616.2,23303.4,23668.4,23303.4,1.21M,1.34%
11-10-18,22260.8,22938.5,23147,22052.2,3.80M,-5.74%
12-10-18,22834.2,22156.5,22938.5,21739.4,2.41M,2.58%
15-10-18,22417.2,22834.2,22938.5,22417.2,865.26K,-1.83%
16-10-18,22547.5,22677.8,22677.8,22260.8,1.05M,0.58%
17-10-18,22730,22834.2,22938.5,22677.8,828.02K,0.81%
18-10-18,22730,22782.1,22938.5,22625.7,1.24M,0.00%
19-10-18,22417.2,22417.2,22677.8,22365,1.62M,-1.38%
22-10-18,22495.4,22625.7,22782.1,22469.3,749.53K,0.35%
23-10-18,22000.1,22495.4,22495.4,21687.3,2.01M,-2.20%
24-10-18,21791.6,21921.9,22182.6,21791.6,981.75K,-0.95%
25-10-18,21400.6,20853.2,21530.9,20853.2,1.32M,-1.79%
26-10-18,21270.3,21635.2,21765.5,21270.3,1.61M,-0.61%
29-10-18,21374.5,21113.9,21609.1,21113.9,807.18K,0.49%
30-10-18,21374.5,21426.7,21791.6,21296.3,790.16K,0.00%
31-10-18,21869.8,21765.5,21895.8,21530.9,567.60K,2.32%
01-11-18,21843.7,21921.9,22104.4,21843.7,820.06K,-0.12%
02-11-18,22365,22078.3,22417.2,21921.9,1.04M,2.39%
05-11-18,22182.6,22208.6,22417.2,22000.1,463.69K,-0.82%
06-11-18,21974,22260.8,22286.8,21948,822.10K,-0.94%
07-11-18,21817.6,21974,22156.5,21713.4,865.10K,-0.71%
08-11-18,21974,22026.2,22104.4,21869.8,614.71K,0.72%
09-11-18,21504.9,21791.6,21948,21478.8,1.11M,-2.13%
12-11-18,21869.8,21478.8,21869.8,21452.7,476.77K,1.70%
13-11-18,21713.4,21478.8,21765.5,21478.8,764.67K,-0.72%
14-11-18,22026.2,21843.7,22026.2,21687.3,1.31M,1.44%
15-11-18,22000.1,21895.8,22104.4,21739.4,870.74K,-0.12%
16-11-18,22286.8,22156.5,22365,22026.2,1.12M,1.30%
19-11-18,22495.4,22417.2,22521.4,22312.9,691.33K,0.94%
20-11-18,22625.7,22521.4,22625.7,22339,960.38K,0.58%
21-11-18,22625.7,22312.9,22625.7,22260.8,896.17K,0.00%
22-11-18,22625.7,22625.7,22730,22547.5,564.39K,0.00%
23-11-18,22443.2,22469.3,22651.8,22417.2,604.12K,-0.81%
26-11-18,22130.4,22443.2,22443.2,22130.4,843.99K,-1.39%
27-11-18,22286.8,22365,22365,22156.5,596.45K,0.71%
28-11-18,22312.9,22286.8,22339,22182.6,447.32K,0.12%
29-11-18,22365,22573.6,22677.8,22365,914.07K,0.23%
30-11-18,22365,22365,22391.1,22234.7,565.22K,0.00%
03-12-18,23407.7,22521.4,23407.7,22521.4,1.98M,4.66%
04-12-18,23433.8,23407.7,23720.5,23329.5,1.77M,0.11%
05-12-18,23251.3,23173.1,23433.8,23147,1.06M,-0.78%
06-12-18,23147,23199.2,23355.6,22964.6,845.13K,-0.45%
07-12-18,23512,23251.3,23642.3,23251.3,1.33M,1.58%
10-12-18,23042.8,23355.6,23459.8,23042.8,1.21M,-2.00%
11-12-18,22964.6,23094.9,23199.2,22886.4,668.08K,-0.34%
12-12-18,23173.1,22964.6,23225.2,22964.6,1.16M,0.91%
13-12-18,23251.3,23433.8,23590.2,23199.2,1.36M,0.34%
14-12-18,23016.7,23251.3,23355.6,22990.6,1.38M,-1.01%
17-12-18,22417.2,22990.6,22990.6,22417.2,1.36M,-2.60%
18-12-18,21895.8,22078.3,22312.9,21817.6,1.97M,-2.33%
19-12-18,21948,21895.8,22208.6,21817.6,823.24K,0.24%
20-12-18,21921.9,22052.2,22104.4,21921.9,805.13K,-0.12%
21-12-18,22156.5,21843.7,22156.5,21843.7,792.22K,1.07%
24-12-18,21895.8,22208.6,22312.9,21895.8,371.01K,-1.18%
25-12-18,21635.2,21583.1,21635.2,21374.5,1.28M,-1.19%
26-12-18,21583.1,21635.2,21817.6,21583.1,582.35K,-0.24%
27-12-18,21791.6,21948,22026.2,21791.6,794.05K,0.97%
28-12-18,22000.1,21921.9,22000.1,21791.6,675.88K,0.96%
02-01-19,21478.8,21791.6,21974,21452.7,801.49K,-2.37%
03-01-19,21270.3,21609.1,21609.1,21218.1,1.25M,-0.97%
04-01-19,21426.7,21166,21609.1,21113.9,556.13K,0.74%
07-01-19,21791.6,21791.6,21948,21687.3,713.07K,1.70%
08-01-19,21895.8,21791.6,21895.8,21739.4,516.13K,0.48%
09-01-19,22104.4,21948,22208.6,21843.7,539.49K,0.95%
10-01-19,21974,22104.4,22182.6,21974,361.94K,-0.59%
11-01-19,22000.1,22104.4,22182.6,21921.9,1.04M,0.12%
14-01-19,22156.5,22052.2,22208.6,21895.8,695.49K,0.71%
